discipline,performance,wind,competitor,date_of_birth,country,venue,gender,date,year,record_type,is_indoor,pending_ratification,mixed_gender_race,women_only_race,venue_country,venue_city,venue_country_official_name,venue_country_region,venue_country_subregion,venue_country_latitude,venue_country_longitude,comp_country_official_name,comp_country_region,comp_country_subregion,comp_country_latitude,comp_country_longitude
4x800 Metres Relay Short Track,8:48.6h,,Ricker CO,,JPN,Tokyo (JPN) (i),M,1961-03-19,1961,Asian Records,True,False,False,False,JPN,Tokyo,Japan,Asia,Eastern Asia,36.0,138.0,Japan,Asia,Eastern Asia,36.0,138.0
4x800 Metres Relay Short Track,8:48.6h,,Ricker CO,,JPN,Tokyo (JPN) (i),W,1961-03-19,1961,Asian Records,True,False,False,False,JPN,Tokyo,Japan,Asia,Eastern Asia,36.0,138.0,Japan,Asia,Eastern Asia,36.0,138.0
4x800 Metres Relay,7:47.3h,,Esporte Clube Pinheiros,,BRA,São Paulo (BRA),M,1965-04-21,1965,South American Records,False,False,False,False,BRA,São Paulo,Federative Republic of Brazil,Americas,South America,-10.0,-55.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
4x800 Metres Relay,7:47.3h,,Esporte Clube Pinheiros,,BRA,São Paulo (BRA),W,1965-04-21,1965,South American Records,False,False,False,False,BRA,São Paulo,Federative Republic of Brazil,Americas,South America,-10.0,-55.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
50 Metres,6.3h,,Pamela KILBORN,1939-08-12,AUS,Toronto (CAN) (i),W,1965-01-29,1965,Oceanian Records,True,False,False,False,CAN,Toronto,Canada,Americas,North America,60.0,-95.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
50 Metres,6.3h,,Pamela KILBORN,1939-08-12,AUS,Toronto (CAN) (i),M,1965-01-29,1965,Oceanian Records,True,False,False,False,CAN,Toronto,Canada,Americas,North America,60.0,-95.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
200 Metres,20.06,+0.9,Peter NORMAN,1942-06-15,AUS,"Estadio Olímpico, Ciudad de México (MEX)",W,1968-10-16,1968,Oceanian Records,False,False,False,False,MEX,"Estadio Olímpico, Ciudad de México",United Mexican States,Americas,North America,23.0,-102.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
200 Metres,20.06,+0.9,Peter NORMAN,1942-06-15,AUS,"Estadio Olímpico, Ciudad de México (MEX)",M,1968-10-16,1968,Oceanian Records,False,False,False,False,MEX,"Estadio Olímpico, Ciudad de México",United Mexican States,Americas,North America,23.0,-102.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
Long Jump,8.90,+2.0,Bob BEAMON,1946-08-29,USA,"Estadio Olímpico, Ciudad de México (MEX)",W,1968-10-18,1968,Olympic Games Records,False,False,False,False,MEX,"Estadio Olímpico, Ciudad de México",United Mexican States,Americas,North America,23.0,-102.0,United States of America,Americas,North America,38.0,-97.0
Long Jump,8.90,+2.0,Bob BEAMON,1946-08-29,USA,"Estadio Olímpico, Ciudad de México (MEX)",M,1968-10-18,1968,Olympic Games Records,False,False,False,False,MEX,"Estadio Olímpico, Ciudad de México",United Mexican States,Americas,North America,23.0,-102.0,United States of America,Americas,North America,38.0,-97.0
Shot Put,19.17,,Edy HUBACHER,1940-04-15,SUI,Bern (SUI),W,1969-10-05,1969,Combined Best Performances,False,False,False,False,SUI,Bern,Swiss Confederation,Europe,Western Europe,47.0,8.0,Swiss Confederation,Europe,Western Europe,47.0,8.0
Shot Put,19.17,,Edy HUBACHER,1940-04-15,SUI,Bern (SUI),M,1969-10-05,1969,Combined Best Performances,False,False,False,False,SUI,Bern,Swiss Confederation,Europe,Western Europe,47.0,8.0,Swiss Confederation,Europe,Western Europe,47.0,8.0
"25,000 Metres",1:16:29.0h,,Jack FOSTER,1932-05-23,NZL,Hamilton (NZL),W,1971-08-14,1971,Oceanian Records,False,False,False,False,NZL,Hamilton,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
"25,000 Metres",1:16:29.0h,,Jack FOSTER,1932-05-23,NZL,Hamilton (NZL),M,1971-08-14,1971,Oceanian Records,False,False,False,False,NZL,Hamilton,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
4x800 Metres Relay Short Track,7:17.8h,,Soviet Union,,URS,"Festivalna, Sofia (BUL) (i)",W,1971-03-14,1971,European Records,True,False,False,False,BUL,"Festivalna, Sofia",Republic of Bulgaria,Europe,Southeast Europe,43.0,25.0,,,,,
4x800 Metres Relay Short Track,7:17.8h,,Soviet Union,,URS,"Festivalna, Sofia (BUL) (i)",M,1971-03-14,1971,European Records,True,False,False,False,BUL,"Festivalna, Sofia",Republic of Bulgaria,Europe,Southeast Europe,43.0,25.0,,,,,
"30,000 Metres",1:32:18.6h,,Jack FOSTER,1932-05-23,NZL,Hamilton (NZL),M,1971-08-14,1971,Oceanian Records,False,False,False,False,NZL,Hamilton,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
"30,000 Metres",1:32:18.6h,,Jack FOSTER,1932-05-23,NZL,Hamilton (NZL),W,1971-08-14,1971,Oceanian Records,False,False,False,False,NZL,Hamilton,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0,New Zealand,Oceania,Australia and New Zealand,-41.0,174.0
One Hour,20129,,Victor MORA,1944-11-24,COL,Essen (GER),M,1973-08-15,1973,South American Records,False,False,False,False,GER,Essen,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,Republic of Colombia,Americas,South America,4.0,-72.0
One Hour,20129,,Victor MORA,1944-11-24,COL,Essen (GER),W,1973-08-15,1973,South American Records,False,False,False,False,GER,Essen,Federal Republic of Germany,Europe,Western Europe,51.0,9.0,Republic of Colombia,Americas,South America,4.0,-72.0
1000 Metres,2:13.9h,,Rick WOHLHUTER,1948-12-23,USA,Oslo (NOR),W,1974-07-30,1974,Nacac Records,False,False,False,False,NOR,Oslo,Kingdom of Norway,Europe,Northern Europe,62.0,10.0,United States of America,Americas,North America,38.0,-97.0
1000 Metres,2:13.9h,,Rick WOHLHUTER,1948-12-23,USA,Oslo (NOR),M,1974-07-30,1974,Nacac Records,False,False,False,False,NOR,Oslo,Kingdom of Norway,Europe,Northern Europe,62.0,10.0,United States of America,Americas,North America,38.0,-97.0
4x200 Metres Relay,1:32.6h,,Australia / New Zealand,,AUS,Brisbane (AUS),W,1976-01-25,1976,Oceanian Records,False,False,False,False,AUS,Brisbane,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0,Commonwealth of Australia,Oceania,Australia and New Zealand,-27.0,133.0
"20,000 Metres",1:02:17.8h,,Eloy SCHLEDER,1951-07-26,BRA,São Paulo (BRA),M,1976-11-27,1976,South American Records,False,False,False,False,BRA,São Paulo,Federative Republic of Brazil,Americas,South America,-10.0,-55.0,Federative Republic of Brazil,Americas,South America,-10.0,-55.0
